x,y,z,LR
-34.325684,-9.1393795,59.119164,L
-36.4391,-26.050558,51.352333,L
-34.396553,-19.390295,46.8692,L
-28.492329,-25.77541,57.427315,L
-30.17619,-28.76797,51.059082,L
-32.119427,-14.996241,70.718704,L
-24.38737,-25.00552,65.32823,L
-26.433386,-11.549973,55.29485,L
-24.897543,57.596638,23.621124,L
-14.702868,55.19564,25.923298,L
-23.585804,48.106865,35.510162,L
-27.549368,48.163887,18.163082,L
-26.52742,55.34839,9.540842,L
-29.325165,36.962536,23.991926,L
-36.66131,48.16747,20.988232,L
-53.89553,-8.182543,6.613374,L
-46.33379,-4.649514,5.396532,L
-58.23648,4.1626234,1.004065,L
-64.16207,-8.362653,9.022442,L
-56.479713,-16.225758,11.190536,L
-52.140625,-55.07125,42.298912,L
-49.636536,-54.428444,31.716425,L
-53.54148,-50.23,39.04882,L
-44.548866,-50.45546,42.056824,L
-47.04391,-57.87813,43.48707,L
-9.939197,-72.803444,55.11986,L
-15.078316,-75.59374,47.883446,L
-16.695284,-67.55976,49.058872,L
-12.714035,-60.10304,61.781654,L
-7.567228,-62.757515,55.994434,L
-9.498116,-1.9738967,42.788006,L
-4.6831703,-7.0876083,43.626762,L
-11.417177,-13.934097,42.318283,L
-3.285479,16.672726,-11.301948,L
-5.3070602,1.4903796,-12.166709,L
-2.164991,-6.4540496,-10.377428,L
-39.642025,14.593765,-3.0039532,L
-40.70957,2.5464501,-11.655208,L
-33.05891,16.704165,-10.87042,L
-48.901836,-30.779644,-6.792428,L
-55.646046,-27.931232,-10.103165,L
-51.331963,-21.290266,-11.839326,L
-29.72121,-96.069885,-4.950896,L
-30.293026,-94.99805,-16.718735,L
-41.66152,-89.148636,-8.33675,L
-13.970362,-56.244335,5.716481,L
-20.625416,-55.262726,1.8758167,L
-24.312843,-65.09922,3.3090644,L
-59.865673,-1.8361223,34.34568,L
-49.09564,4.6288543,30.56076,L
-47.668625,-0.13676926,35.81975,L
-39.168934,5.2601657,58.423206,L
-44.921967,14.311704,46.37787,L
-35.70667,22.347088,52.555,L
-31.563618,29.653107,43.111,L
-27.78657,17.737093,43.41091,L
-41.694405,-30.756245,41.320198,L
-44.943558,-28.820858,35.918167,L
-50.69431,-26.23236,46.231644,L
-41.25434,-15.020342,34.033825,L
-47.969826,-16.256023,35.150707,L
-46.89025,-9.907931,27.955826,L
-52.476814,-8.362597,22.707317,L
-21.835707,-43.863968,62.274677,L
-27.296555,-47.926796,63.65863,L
-23.468258,-40.850853,56.738453,L
-45.686085,-32.36973,59.911644,L
-37.099213,-38.0709,54.306164,L
-39.1076,-34.916576,45.28325,L
-34.2621,-36.703903,38.655495,L
-6.9363413,-8.536089,65.86015,L
-4.5668583,-20.686,62.373253,L
-3.3001683,-17.6487,71.78388,L
-14.194125,-33.932713,66.13652,L
-5.781639,-38.20336,72.22515,L
-15.971016,-37.610302,76.20435,L
-19.197603,-49.108543,71.032646,L
-22.524746,23.703678,39.643093,L
-26.115423,13.999881,45.777138,L
-21.395527,-6.5462112,66.29063,L
-22.026611,8.554837,66.942635,L
-13.544111,-0.13100143,72.46352,L
